UnitID,ProjectID,BuildingID,LevelID,ZoneID,UnitCode,UnitName,UnitCategory,UnitType,PlannedQuantity,QuantityUOM,PlannedStartDate,PlannedFinishDate,CurrentStatusID,IsCritical
UNT-00001,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-001,Utility Rack 001,Utility Rack,Type C,6,M2,2025-05-20,2025-07-24,STS-003,FALSE
UNT-00002,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-002,Apartment 002,Apartment,Type C,8,EA,2025-10-30,2025-11-23,STS-004,TRUE
UNT-00003,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-003,Apartment 003,Apartment,Type A,1,M2,2026-04-22,2026-06-24,STS-004,FALSE
UNT-00004,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-004,Facade Panel 004,Facade Panel,Type A,19,M2,2025-02-01,2025-04-08,STS-007,TRUE
UNT-00005,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-005,Plant Item 005,Plant Item,Type C,4,EA,2025-04-16,2025-08-14,STS-009,FALSE
UNT-00006,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-006,Plant Item 006,Plant Item,Type B,9,SET,2025-10-02,2026-01-28,STS-009,FALSE
UNT-00007,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-007,Facade Panel 007,Facade Panel,Type C,19,EA,2025-01-26,2025-03-08,STS-006,FALSE
UNT-00008,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-008,Room Package 008,Room Package,Type D,3,EA,2025-03-05,2025-05-03,STS-007,FALSE
UNT-00009,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-009,Plant Item 009,Plant Item,Type D,7,EA,2025-05-16,2025-05-31,STS-008,FALSE
UNT-00010,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-010,Room Package 010,Room Package,Type C,3,M2,2025-04-21,2025-05-21,STS-005,FALSE
UNT-00011,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-011,Room Package 011,Room Package,Type C,7,M2,2026-04-09,2026-07-27,STS-003,TRUE
UNT-00012,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-012,Service Module 012,Service Module,Type C,9,M2,2025-12-17,2026-03-14,STS-005,FALSE
UNT-00013,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-013,Service Module 013,Service Module,Type D,5,M2,2025-05-27,2025-07-02,STS-003,FALSE
UNT-00014,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-014,Utility Rack 014,Utility Rack,Type B,3,SET,2026-07-01,2026-07-16,STS-001,FALSE
UNT-00015,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-015,Plant Item 015,Plant Item,Type A,1,SET,2025-06-24,2025-09-11,STS-006,TRUE
