DeliveryID,UnitID,ProjectID,ContractorID,PlannedDeliveryDate,ActualDeliveryDate,DeliveryStatus,QuantityDelivered,TransportBatch,DelayDays
DLV-000001,UNT-03518,PRJ-002,CTR-006,2026-07-11,,Planned,7,TB-2607-019,0
DLV-000002,UNT-05165,PRJ-003,CTR-007,2026-09-21,2026-10-07,Delayed,3,TB-2609-037,16
DLV-000003,UNT-02094,PRJ-001,CTR-006,2025-09-09,2025-09-16,Delayed,11,TB-2509-005,7
DLV-000004,UNT-01033,PRJ-001,CTR-005,2025-10-01,2025-10-07,Delayed,8,TB-2510-019,6
DLV-000005,UNT-06114,PRJ-003,CTR-002,2026-07-11,2026-07-16,Delayed,4,TB-2607-029,5
DLV-000006,UNT-00560,PRJ-001,CTR-005,2025-09-22,2025-09-22,Delivered,2,TB-2509-014,0
DLV-000007,UNT-03358,PRJ-002,CTR-006,2025-08-04,2025-08-05,Delayed,14,TB-2508-030,1
DLV-000008,UNT-05022,PRJ-003,CTR-005,2026-04-12,2026-04-28,Delayed,6,TB-2604-045,16
DLV-000009,UNT-04835,PRJ-002,CTR-004,2025-04-03,2025-04-03,Delivered,12,TB-2504-010,0
DLV-000010,UNT-01878,PRJ-001,CTR-008,2025-02-13,2025-02-16,Delayed,10,TB-2502-015,3
DLV-000011,UNT-06494,PRJ-003,CTR-007,2025-06-20,2025-06-29,Delayed,7,TB-2506-022,9
DLV-000012,UNT-04777,PRJ-002,CTR-005,2026-04-29,2026-05-17,Delayed,8,TB-2604-035,18
DLV-000013,UNT-05582,PRJ-003,CTR-008,2026-03-21,,Planned,1,TB-2603-029,0
DLV-000014,UNT-04005,PRJ-002,CTR-005,2025-05-15,2025-05-15,Delivered,11,TB-2505-024,0
DLV-000015,UNT-03429,PRJ-002,CTR-002,2025-04-11,2025-04-12,Delayed,7,TB-2504-022,1
DLV-000016,UNT-01312,PRJ-001,CTR-006,2025-07-15,2025-07-23,Delayed,3,TB-2507-003,8
DLV-000017,UNT-03433,PRJ-002,CTR-002,2025-05-29,2025-05-29,Delivered,6,TB-2505-031,0
DLV-000018,UNT-05795,PRJ-003,CTR-003,2025-05-28,2025-05-28,Delivered,11,TB-2505-040,0
DLV-000019,UNT-02711,PRJ-002,CTR-005,2025-06-02,2025-06-02,Delivered,14,TB-2506-019,0
DLV-000020,UNT-06097,PRJ-003,CTR-001,2025-12-02,2025-12-09,Delayed,2,TB-2512-030,7
DLV-000021,UNT-01877,PRJ-001,CTR-003,2026-03-05,2026-03-17,Delayed,9,TB-2603-017,12
DLV-000022,UNT-00937,PRJ-001,CTR-007,2025-09-08,2025-09-08,Delivered,11,TB-2509-007,0
DLV-000023,UNT-02641,PRJ-002,CTR-006,2026-01-17,2026-02-02,Delayed,6,TB-2601-041,16
DLV-000024,UNT-01461,PRJ-001,CTR-005,2026-02-07,2026-02-13,Delayed,7,TB-2602-040,6
DLV-000025,UNT-04306,PRJ-002,CTR-006,2025-12-24,,Planned,12,TB-2512-039,0
DLV-000026,UNT-05635,PRJ-003,CTR-003,2025-10-07,2025-10-16,Delayed,8,TB-2510-007,9
DLV-000027,UNT-06154,PRJ-003,CTR-002,2026-04-05,,Planned,10,TB-2604-034,0
DLV-000028,UNT-05438,PRJ-003,CTR-006,2026-06-05,2026-06-10,Delayed,6,TB-2606-012,5
DLV-000029,UNT-02457,PRJ-001,CTR-003,2025-01-29,2025-01-29,Delivered,11,TB-2501-024,0
DLV-000030,UNT-05404,PRJ-003,CTR-008,2026-04-23,2026-05-06,Delayed,15,TB-2604-045,13
DLV-000031,UNT-03796,PRJ-002,CTR-006,2026-02-03,2026-02-14,Delayed,3,TB-2602-018,11
DLV-000032,UNT-02344,PRJ-001,CTR-008,2026-02-26,2026-03-05,Delayed,5,TB-2602-008,7
DLV-000033,UNT-02681,PRJ-002,CTR-001,2025-08-29,,Planned,11,TB-2508-010,0
DLV-000034,UNT-04199,PRJ-002,CTR-007,2025-10-24,2025-10-27,Delayed,10,TB-2510-028,3
DLV-000035,UNT-03608,PRJ-002,CTR-008,2025-08-12,2025-08-26,Delayed,11,TB-2508-001,14
DLV-000036,UNT-01250,PRJ-001,CTR-001,2025-06-16,,Planned,8,TB-2506-004,0
DLV-000037,UNT-03507,PRJ-002,CTR-007,2025-01-29,2025-01-29,Delivered,1,TB-2501-039,0
DLV-000038,UNT-05376,PRJ-003,CTR-001,2025-09-29,2025-10-11,Delayed,5,TB-2509-004,12
DLV-000039,UNT-03356,PRJ-002,CTR-008,2026-06-23,,Planned,7,TB-2606-020,0
DLV-000040,UNT-01083,PRJ-001,CTR-006,2025-01-09,2025-01-09,Delivered,9,TB-2501-011,0
DLV-000041,UNT-05789,PRJ-003,CTR-006,2026-03-18,2026-03-29,Delayed,10,TB-2603-035,11
DLV-000042,UNT-00617,PRJ-001,CTR-005,2025-02-09,2025-02-09,Delivered,14,TB-2502-005,0
DLV-000043,UNT-04193,PRJ-002,CTR-008,2025-08-17,2025-09-03,Delayed,4,TB-2508-037,17
DLV-000044,UNT-01888,PRJ-001,CTR-004,2025-03-29,,Planned,1,TB-2503-033,0
DLV-000045,UNT-04299,PRJ-002,CTR-007,2026-04-19,,Planned,4,TB-2604-012,0
DLV-000046,UNT-02081,PRJ-001,CTR-004,2026-05-10,2026-05-17,Delayed,1,TB-2605-035,7
DLV-000047,UNT-02383,PRJ-001,CTR-004,2025-03-30,,Planned,11,TB-2503-003,0
DLV-000048,UNT-06125,PRJ-003,CTR-006,2025-09-23,2025-10-04,Delayed,1,TB-2509-028,11
DLV-000049,UNT-01493,PRJ-001,CTR-002,2025-05-26,2025-06-04,Delayed,2,TB-2505-026,9
DLV-000050,UNT-06055,PRJ-003,CTR-002,2026-07-12,2026-07-15,Delayed,8,TB-2607-018,3
