PlanID,UnitID,ProjectID,PlannedStatusID,PlannedDate,PlannedQuantity,BaselineVersion,PlanMonth
PLN-000001,UNT-00001,PRJ-001,STS-002,2025-05-20,6,BL-01,2025-05
PLN-000002,UNT-00001,PRJ-001,STS-004,2025-06-10,6,BL-01,2025-06
PLN-000003,UNT-00001,PRJ-001,STS-005,2025-07-02,6,BL-01,2025-07
PLN-000004,UNT-00001,PRJ-001,STS-006,2025-07-19,6,BL-01,2025-07
PLN-000005,UNT-00001,PRJ-001,STS-007,2025-08-21,6,BL-01,2025-08
PLN-000006,UNT-00002,PRJ-001,STS-002,2025-10-30,8,BL-02,2025-10
PLN-000007,UNT-00002,PRJ-001,STS-004,2025-11-23,8,BL-01,2025-11
PLN-000008,UNT-00002,PRJ-001,STS-005,2025-11-30,8,BL-01,2025-11
PLN-000009,UNT-00002,PRJ-001,STS-006,2026-01-07,8,BL-01,2026-01
PLN-000010,UNT-00002,PRJ-001,STS-007,2026-01-20,8,BL-02,2026-01
PLN-000011,UNT-00003,PRJ-001,STS-002,2026-04-11,1,BL-02,2026-04
PLN-000012,UNT-00003,PRJ-001,STS-004,2026-05-12,1,BL-02,2026-05
PLN-000013,UNT-00003,PRJ-001,STS-005,2026-06-04,1,BL-02,2026-06
PLN-000014,UNT-00003,PRJ-001,STS-006,2026-06-22,1,BL-01,2026-06
PLN-000015,UNT-00003,PRJ-001,STS-007,2026-07-14,1,BL-02,2026-07
PLN-000016,UNT-00004,PRJ-001,STS-002,2025-01-30,19,BL-02,2025-01
PLN-000017,UNT-00004,PRJ-001,STS-004,2025-02-26,19,BL-02,2025-02
PLN-000018,UNT-00004,PRJ-001,STS-005,2025-03-01,19,BL-02,2025-03
PLN-000019,UNT-00004,PRJ-001,STS-006,2025-04-12,19,BL-01,2025-04
PLN-000020,UNT-00004,PRJ-001,STS-007,2025-04-28,19,BL-01,2025-04
PLN-000021,UNT-00005,PRJ-001,STS-002,2025-04-06,4,BL-01,2025-04
PLN-000022,UNT-00005,PRJ-001,STS-004,2025-05-05,4,BL-01,2025-05
PLN-000023,UNT-00005,PRJ-001,STS-005,2025-05-20,4,BL-02,2025-05
PLN-000024,UNT-00005,PRJ-001,STS-006,2025-06-16,4,BL-02,2025-06
PLN-000025,UNT-00005,PRJ-001,STS-007,2025-07-07,4,BL-02,2025-07
PLN-000026,UNT-00006,PRJ-001,STS-002,2025-09-29,9,BL-01,2025-09
PLN-000027,UNT-00006,PRJ-001,STS-004,2025-10-24,9,BL-02,2025-10
PLN-000028,UNT-00006,PRJ-001,STS-005,2025-11-03,9,BL-02,2025-11
PLN-000029,UNT-00006,PRJ-001,STS-006,2025-11-25,9,BL-01,2025-11
PLN-000030,UNT-00006,PRJ-001,STS-007,2025-12-27,9,BL-02,2025-12
PLN-000031,UNT-00007,PRJ-001,STS-002,2025-01-17,19,BL-02,2025-01
PLN-000032,UNT-00007,PRJ-001,STS-004,2025-02-10,19,BL-01,2025-02
PLN-000033,UNT-00007,PRJ-001,STS-005,2025-03-11,19,BL-01,2025-03
PLN-000034,UNT-00007,PRJ-001,STS-006,2025-04-04,19,BL-01,2025-04
PLN-000035,UNT-00007,PRJ-001,STS-007,2025-04-21,19,BL-01,2025-04
PLN-000036,UNT-00008,PRJ-001,STS-002,2025-03-04,3,BL-02,2025-03
PLN-000037,UNT-00008,PRJ-001,STS-004,2025-03-21,3,BL-02,2025-03
PLN-000038,UNT-00008,PRJ-001,STS-005,2025-04-13,3,BL-02,2025-04
PLN-000039,UNT-00008,PRJ-001,STS-006,2025-05-06,3,BL-02,2025-05
PLN-000040,UNT-00008,PRJ-001,STS-007,2025-05-25,3,BL-02,2025-05
PLN-000041,UNT-00009,PRJ-001,STS-002,2025-05-12,7,BL-01,2025-05
PLN-000042,UNT-00009,PRJ-001,STS-004,2025-06-03,7,BL-01,2025-06
PLN-000043,UNT-00009,PRJ-001,STS-005,2025-06-24,7,BL-01,2025-06
PLN-000044,UNT-00009,PRJ-001,STS-006,2025-07-25,7,BL-02,2025-07
PLN-000045,UNT-00009,PRJ-001,STS-007,2025-08-14,7,BL-01,2025-08
PLN-000046,UNT-00010,PRJ-001,STS-002,2025-04-13,3,BL-01,2025-04
PLN-000047,UNT-00010,PRJ-001,STS-004,2025-05-04,3,BL-02,2025-05
PLN-000048,UNT-00010,PRJ-001,STS-005,2025-05-31,3,BL-01,2025-05
PLN-000049,UNT-00010,PRJ-001,STS-006,2025-06-28,3,BL-01,2025-06
PLN-000050,UNT-00010,PRJ-001,STS-007,2025-07-18,3,BL-02,2025-07
PLN-000051,UNT-00011,PRJ-001,STS-002,2026-04-09,7,BL-02,2026-04
PLN-000052,UNT-00011,PRJ-001,STS-004,2026-05-07,7,BL-02,2026-05
PLN-000053,UNT-00011,PRJ-001,STS-005,2026-05-08,7,BL-02,2026-05
PLN-000054,UNT-00011,PRJ-001,STS-006,2026-06-01,7,BL-01,2026-06
PLN-000055,UNT-00011,PRJ-001,STS-007,2026-06-30,7,BL-01,2026-06
PLN-000056,UNT-00012,PRJ-001,STS-002,2025-12-15,9,BL-01,2025-12
PLN-000057,UNT-00012,PRJ-001,STS-004,2026-01-05,9,BL-02,2026-01
PLN-000058,UNT-00012,PRJ-001,STS-005,2026-01-30,9,BL-01,2026-01
PLN-000059,UNT-00012,PRJ-001,STS-006,2026-02-11,9,BL-01,2026-02
PLN-000060,UNT-00012,PRJ-001,STS-007,2026-03-22,9,BL-02,2026-03
PLN-000061,UNT-00013,PRJ-001,STS-002,2025-05-23,5,BL-01,2025-05
PLN-000062,UNT-00013,PRJ-001,STS-004,2025-06-12,5,BL-01,2025-06
PLN-000063,UNT-00013,PRJ-001,STS-005,2025-07-10,5,BL-02,2025-07
PLN-000064,UNT-00013,PRJ-001,STS-006,2025-07-20,5,BL-02,2025-07
PLN-000065,UNT-00013,PRJ-001,STS-007,2025-08-17,5,BL-02,2025-08
PLN-000066,UNT-00014,PRJ-001,STS-002,2026-07-02,3,BL-02,2026-07
PLN-000067,UNT-00014,PRJ-001,STS-004,2026-07-15,3,BL-02,2026-07
PLN-000068,UNT-00014,PRJ-001,STS-005,2026-08-11,3,BL-02,2026-08
PLN-000069,UNT-00014,PRJ-001,STS-006,2026-09-09,3,BL-01,2026-09
PLN-000070,UNT-00014,PRJ-001,STS-007,2026-09-19,3,BL-01,2026-09
PLN-000071,UNT-00015,PRJ-001,STS-002,2025-06-27,1,BL-02,2025-06
PLN-000072,UNT-00015,PRJ-001,STS-004,2025-07-09,1,BL-02,2025-07
PLN-000073,UNT-00015,PRJ-001,STS-005,2025-07-23,1,BL-01,2025-07
PLN-000074,UNT-00015,PRJ-001,STS-006,2025-09-02,1,BL-01,2025-09
PLN-000075,UNT-00015,PRJ-001,STS-007,2025-09-19,1,BL-01,2025-09
PLN-000076,UNT-00016,PRJ-001,STS-002,2025-06-09,11,BL-02,2025-06
PLN-000077,UNT-00016,PRJ-001,STS-004,2025-07-11,11,BL-01,2025-07
PLN-000078,UNT-00016,PRJ-001,STS-005,2025-07-24,11,BL-01,2025-07
PLN-000079,UNT-00016,PRJ-001,STS-006,2025-08-19,11,BL-02,2025-08
PLN-000080,UNT-00016,PRJ-001,STS-007,2025-09-02,11,BL-01,2025-09
PLN-000081,UNT-00017,PRJ-001,STS-002,2025-04-15,4,BL-02,2025-04
PLN-000082,UNT-00017,PRJ-001,STS-004,2025-05-16,4,BL-01,2025-05
PLN-000083,UNT-00017,PRJ-001,STS-005,2025-05-26,4,BL-02,2025-05
PLN-000084,UNT-00017,PRJ-001,STS-006,2025-06-18,4,BL-02,2025-06
PLN-000085,UNT-00017,PRJ-001,STS-007,2025-07-21,4,BL-01,2025-07
PLN-000086,UNT-00018,PRJ-001,STS-002,2025-05-10,5,BL-02,2025-05
PLN-000087,UNT-00018,PRJ-001,STS-004,2025-06-20,5,BL-02,2025-06
PLN-000088,UNT-00018,PRJ-001,STS-005,2025-06-29,5,BL-02,2025-06
PLN-000089,UNT-00018,PRJ-001,STS-006,2025-07-17,5,BL-01,2025-07
PLN-000090,UNT-00018,PRJ-001,STS-007,2025-08-14,5,BL-01,2025-08
PLN-000091,UNT-00019,PRJ-001,STS-002,2025-11-06,3,BL-01,2025-11
PLN-000092,UNT-00019,PRJ-001,STS-004,2025-11-21,3,BL-01,2025-11
PLN-000093,UNT-00019,PRJ-001,STS-005,2025-12-04,3,BL-02,2025-12
PLN-000094,UNT-00019,PRJ-001,STS-006,2026-01-13,3,BL-02,2026-01
PLN-000095,UNT-00019,PRJ-001,STS-007,2026-02-05,3,BL-02,2026-02
PLN-000096,UNT-00020,PRJ-001,STS-002,2025-07-16,8,BL-01,2025-07
PLN-000097,UNT-00020,PRJ-001,STS-004,2025-08-17,8,BL-01,2025-08
PLN-000098,UNT-00020,PRJ-001,STS-005,2025-08-28,8,BL-01,2025-08
PLN-000099,UNT-00020,PRJ-001,STS-006,2025-09-20,8,BL-01,2025-09
PLN-000100,UNT-00020,PRJ-001,STS-007,2025-10-08,8,BL-02,2025-10
PLN-000101,UNT-00021,PRJ-001,STS-002,2026-01-09,12,BL-01,2026-01
PLN-000102,UNT-00021,PRJ-001,STS-004,2026-02-05,12,BL-01,2026-02
PLN-000103,UNT-00021,PRJ-001,STS-005,2026-02-17,12,BL-02,2026-02
PLN-000104,UNT-00021,PRJ-001,STS-006,2026-03-25,12,BL-01,2026-03
PLN-000105,UNT-00021,PRJ-001,STS-007,2026-04-11,12,BL-01,2026-04
PLN-000106,UNT-00022,PRJ-001,STS-002,2026-06-19,4,BL-02,2026-06
PLN-000107,UNT-00022,PRJ-001,STS-004,2026-07-22,4,BL-01,2026-07
PLN-000108,UNT-00022,PRJ-001,STS-005,2026-08-08,4,BL-02,2026-08
PLN-000109,UNT-00022,PRJ-001,STS-006,2026-08-17,4,BL-02,2026-08
PLN-000110,UNT-00022,PRJ-001,STS-007,2026-09-13,4,BL-02,2026-09
PLN-000111,UNT-00023,PRJ-001,STS-002,2025-08-16,20,BL-01,2025-08
PLN-000112,UNT-00023,PRJ-001,STS-004,2025-09-01,20,BL-02,2025-09
PLN-000113,UNT-00023,PRJ-001,STS-005,2025-09-11,20,BL-02,2025-09
PLN-000114,UNT-00023,PRJ-001,STS-006,2025-10-20,20,BL-02,2025-10
PLN-000115,UNT-00023,PRJ-001,STS-007,2025-11-13,20,BL-02,2025-11
PLN-000116,UNT-00024,PRJ-001,STS-002,2025-12-24,1,BL-02,2025-12
PLN-000117,UNT-00024,PRJ-001,STS-004,2026-01-17,1,BL-02,2026-01
PLN-000118,UNT-00024,PRJ-001,STS-005,2026-02-04,1,BL-01,2026-02
PLN-000119,UNT-00024,PRJ-001,STS-006,2026-02-20,1,BL-02,2026-02
PLN-000120,UNT-00024,PRJ-001,STS-007,2026-03-19,1,BL-02,2026-03
PLN-000121,UNT-00025,PRJ-001,STS-002,2025-08-17,4,BL-01,2025-08
PLN-000122,UNT-00025,PRJ-001,STS-004,2025-09-07,4,BL-02,2025-09
PLN-000123,UNT-00025,PRJ-001,STS-005,2025-10-01,4,BL-01,2025-10
PLN-000124,UNT-00025,PRJ-001,STS-006,2025-10-21,4,BL-02,2025-10
PLN-000125,UNT-00025,PRJ-001,STS-007,2025-11-05,4,BL-02,2025-11
PLN-000126,UNT-00026,PRJ-001,STS-002,2025-10-23,1,BL-02,2025-10
PLN-000127,UNT-00026,PRJ-001,STS-004,2025-11-10,1,BL-02,2025-11
PLN-000128,UNT-00026,PRJ-001,STS-005,2025-12-07,1,BL-01,2025-12
PLN-000129,UNT-00026,PRJ-001,STS-006,2025-12-23,1,BL-02,2025-12
PLN-000130,UNT-00026,PRJ-001,STS-007,2026-01-17,1,BL-01,2026-01
PLN-000131,UNT-00027,PRJ-001,STS-002,2026-05-06,9,BL-02,2026-05
PLN-000132,UNT-00027,PRJ-001,STS-004,2026-05-27,9,BL-01,2026-05
PLN-000133,UNT-00027,PRJ-001,STS-005,2026-06-08,9,BL-02,2026-06
PLN-000134,UNT-00027,PRJ-001,STS-006,2026-06-24,9,BL-01,2026-06
PLN-000135,UNT-00027,PRJ-001,STS-007,2026-07-18,9,BL-01,2026-07
PLN-000136,UNT-00028,PRJ-001,STS-002,2025-09-16,3,BL-02,2025-09
PLN-000137,UNT-00028,PRJ-001,STS-004,2025-10-08,3,BL-02,2025-10
PLN-000138,UNT-00028,PRJ-001,STS-005,2025-11-08,3,BL-01,2025-11
PLN-000139,UNT-00028,PRJ-001,STS-006,2025-11-24,3,BL-01,2025-11
PLN-000140,UNT-00028,PRJ-001,STS-007,2025-12-24,3,BL-02,2025-12
PLN-000141,UNT-00029,PRJ-001,STS-002,2026-03-19,9,BL-01,2026-03
PLN-000142,UNT-00029,PRJ-001,STS-004,2026-04-14,9,BL-01,2026-04
PLN-000143,UNT-00029,PRJ-001,STS-005,2026-05-10,9,BL-01,2026-05
PLN-000144,UNT-00029,PRJ-001,STS-006,2026-05-28,9,BL-02,2026-05
PLN-000145,UNT-00029,PRJ-001,STS-007,2026-06-13,9,BL-02,2026-06
PLN-000146,UNT-00030,PRJ-001,STS-002,2025-04-19,3,BL-02,2025-04
PLN-000147,UNT-00030,PRJ-001,STS-004,2025-05-05,3,BL-02,2025-05
PLN-000148,UNT-00030,PRJ-001,STS-005,2025-05-30,3,BL-01,2025-05
PLN-000149,UNT-00030,PRJ-001,STS-006,2025-06-22,3,BL-01,2025-06
PLN-000150,UNT-00030,PRJ-001,STS-007,2025-07-18,3,BL-01,2025-07
PLN-000151,UNT-00031,PRJ-001,STS-002,2025-10-01,11,BL-02,2025-10
PLN-000152,UNT-00031,PRJ-001,STS-004,2025-10-25,11,BL-01,2025-10
PLN-000153,UNT-00031,PRJ-001,STS-005,2025-11-15,11,BL-01,2025-11
PLN-000154,UNT-00031,PRJ-001,STS-006,2025-12-04,11,BL-02,2025-12
PLN-000155,UNT-00031,PRJ-001,STS-007,2026-01-03,11,BL-01,2026-01
PLN-000156,UNT-00032,PRJ-001,STS-002,2026-01-07,1,BL-02,2026-01
PLN-000157,UNT-00032,PRJ-001,STS-004,2026-01-31,1,BL-02,2026-01
PLN-000158,UNT-00032,PRJ-001,STS-005,2026-03-02,1,BL-01,2026-03
PLN-000159,UNT-00032,PRJ-001,STS-006,2026-03-12,1,BL-01,2026-03
PLN-000160,UNT-00032,PRJ-001,STS-007,2026-04-12,1,BL-01,2026-04
PLN-000161,UNT-00033,PRJ-001,STS-002,2026-05-05,4,BL-02,2026-05
PLN-000162,UNT-00033,PRJ-001,STS-004,2026-06-11,4,BL-02,2026-06
PLN-000163,UNT-00033,PRJ-001,STS-005,2026-06-18,4,BL-02,2026-06
PLN-000164,UNT-00033,PRJ-001,STS-006,2026-07-16,4,BL-01,2026-07
PLN-000165,UNT-00033,PRJ-001,STS-007,2026-08-04,4,BL-02,2026-08
PLN-000166,UNT-00034,PRJ-001,STS-002,2025-05-19,12,BL-01,2025-05
PLN-000167,UNT-00034,PRJ-001,STS-004,2025-06-20,12,BL-02,2025-06
PLN-000168,UNT-00034,PRJ-001,STS-005,2025-06-26,12,BL-02,2025-06
PLN-000169,UNT-00034,PRJ-001,STS-006,2025-07-28,12,BL-01,2025-07
PLN-000170,UNT-00034,PRJ-001,STS-007,2025-08-15,12,BL-01,2025-08
PLN-000171,UNT-00035,PRJ-001,STS-002,2026-02-28,10,BL-02,2026-02
PLN-000172,UNT-00035,PRJ-001,STS-004,2026-03-24,10,BL-01,2026-03
PLN-000173,UNT-00035,PRJ-001,STS-005,2026-04-04,10,BL-02,2026-04
PLN-000174,UNT-00035,PRJ-001,STS-006,2026-04-28,10,BL-01,2026-04
PLN-000175,UNT-00035,PRJ-001,STS-007,2026-05-28,10,BL-02,2026-05
PLN-000176,UNT-00036,PRJ-001,STS-002,2025-08-05,8,BL-01,2025-08
PLN-000177,UNT-00036,PRJ-001,STS-004,2025-09-03,8,BL-01,2025-09
PLN-000178,UNT-00036,PRJ-001,STS-005,2025-09-14,8,BL-02,2025-09
PLN-000179,UNT-00036,PRJ-001,STS-006,2025-10-04,8,BL-01,2025-10
PLN-000180,UNT-00036,PRJ-001,STS-007,2025-10-28,8,BL-02,2025-10
PLN-000181,UNT-00037,PRJ-001,STS-002,2026-02-21,2,BL-02,2026-02
PLN-000182,UNT-00037,PRJ-001,STS-004,2026-03-22,2,BL-02,2026-03
PLN-000183,UNT-00037,PRJ-001,STS-005,2026-03-26,2,BL-02,2026-03
PLN-000184,UNT-00037,PRJ-001,STS-006,2026-04-18,2,BL-01,2026-04
PLN-000185,UNT-00037,PRJ-001,STS-007,2026-05-14,2,BL-01,2026-05
PLN-000186,UNT-00038,PRJ-001,STS-002,2026-02-14,2,BL-01,2026-02
PLN-000187,UNT-00038,PRJ-001,STS-004,2026-03-19,2,BL-01,2026-03
PLN-000188,UNT-00038,PRJ-001,STS-005,2026-03-28,2,BL-01,2026-03
PLN-000189,UNT-00038,PRJ-001,STS-006,2026-04-22,2,BL-02,2026-04
PLN-000190,UNT-00038,PRJ-001,STS-007,2026-05-11,2,BL-01,2026-05
PLN-000191,UNT-00039,PRJ-001,STS-002,2025-06-14,12,BL-01,2025-06
PLN-000192,UNT-00039,PRJ-001,STS-004,2025-07-05,12,BL-02,2025-07
PLN-000193,UNT-00039,PRJ-001,STS-005,2025-07-22,12,BL-01,2025-07
PLN-000194,UNT-00039,PRJ-001,STS-006,2025-08-14,12,BL-02,2025-08
PLN-000195,UNT-00039,PRJ-001,STS-007,2025-09-13,12,BL-02,2025-09
PLN-000196,UNT-00040,PRJ-001,STS-002,2026-04-09,11,BL-01,2026-04
PLN-000197,UNT-00040,PRJ-001,STS-004,2026-05-12,11,BL-01,2026-05
PLN-000198,UNT-00040,PRJ-001,STS-005,2026-05-26,11,BL-02,2026-05
PLN-000199,UNT-00040,PRJ-001,STS-006,2026-06-25,11,BL-01,2026-06
PLN-000200,UNT-00040,PRJ-001,STS-007,2026-07-07,11,BL-01,2026-07
PLN-000201,UNT-00041,PRJ-001,STS-002,2025-11-08,12,BL-01,2025-11
PLN-000202,UNT-00041,PRJ-001,STS-004,2025-11-22,12,BL-01,2025-11
PLN-000203,UNT-00041,PRJ-001,STS-005,2025-12-24,12,BL-01,2025-12
PLN-000204,UNT-00041,PRJ-001,STS-006,2026-01-01,12,BL-02,2026-01
PLN-000205,UNT-00041,PRJ-001,STS-007,2026-02-03,12,BL-01,2026-02
PLN-000206,UNT-00042,PRJ-001,STS-002,2025-03-27,2,BL-01,2025-03
PLN-000207,UNT-00042,PRJ-001,STS-004,2025-04-09,2,BL-02,2025-04
PLN-000208,UNT-00042,PRJ-001,STS-005,2025-05-05,2,BL-01,2025-05
PLN-000209,UNT-00042,PRJ-001,STS-006,2025-05-19,2,BL-02,2025-05
